Name,Unimod accession ,Uniprot PTM,Monoisotopic mass,Amino acid,Note
Cysteine sulfenic acid (-SOH),35,PTM-0107,15.994915,Cysteine,
"3',4'-dihydroxyphenylalanine",35,PTM-0023,15.994915,Tyrosine,
(3R)-3-hydroxyasparagine,35,PTM-0369,15.994915,Asparagine,
(3R)-3-hydroxyaspartate,35,PTM-0371,15.994915,Aspartate,
3-hydroxyproline,35,PTM-0030,15.994915,Proline,
3-hydroxytryptophan,35,PTM-0031,15.994915,Tryptophan,
4-hydroxyarginine,35,PTM-0042,15.994915,Arginine,
4-hydroxylysine,35,PTM-0664,15.994915,Lysine,
4-hydroxyproline,35,PTM-0043,15.994915,Proline,
5-hydroxylysine,35,PTM-0044,15.994915,Lysine,
(5R)-5-hydroxylysine,35,PTM-0471,15.994915,Lysine,
Hydroxyproline,35,PTM-0149,15.994915,Proline,
Methionine (S)-sulfoxide,35,PTM-0481,15.994915,Methionine,
Methionine sulfoxide,35,PTM-0469,15.994915,Methionine,
3-hydroxyphenylalanine,35,PTM-0346,15.994915,Phenylalanine,
HNE adduct,53,NOT FOUND,156.11503,"Cysteine, Histidine, Lysine, Alanine, Leucine",
Acrolein adduct +94,205,NOT FOUND,94.041865,Lysine,
Acrolein adduct +56,206,NOT FOUND,56.026215,"Cysteine, Histidine, Lysine, Arginine",
S-nitrosocysteine,275,PTM-0280,28.990164,Cysteine,
Tryptophan oxidation to oxolactone,288,NOT FOUND,13.979265,Tryptophan,
Malondialdehyde adduct +62,318,NOT FOUND,62.01565,Lysine,
Malondialdehyde adduct +54,319,NOT FOUND,54.0474,"Lysine, Arginine","On arginine, this is a methylglyoxal adduct"
reduced HNE adduct,335,NOT FOUND,158.13068,"Cysteine, Histidine, Lysine",
3'-bromotyrosine,340,PTM-0716,77.910512,Tyrosine,
6'-bromotryptophan,340,PTM-0051,77.910512,Tryptophan,
Bromohistidine,340,PTM-0089,77.910512,Histidine,
Glutamic semialdehyde,344,NOT FOUND,-43.053433,Arginine,
Cysteine sulfonic acid (-SO3H),345,PTM-0634,47.984744,Cysteine,
His -> Asn substitution,348,NOT FOUND,-23.015984,His,Residue change
His -> Asp substitution,349,NOT FOUND,-22.031969,His,Residue change
Hydroxykynurenin,350,NOT FOUND,19.989829,Trp,
