Column1;PC1;PC2;Unnamed: 0;Project;Treatment
0;-10,36637934;-3,084472772;Intensity_QX01983;PXD014381;Control
1;-10,36492277;-3,125995595;Intensity_QX01981_160316090220;PXD014381;Control
2;-10,31811911;-2,941216526;Intensity_QX01867;PXD014381;Control
3;-10,26582684;-3,012019357;Intensity_QX01870;PXD014381;Control
4;-10,16333155;-3,121706636;Intensity_QX01873;PXD014381;Control
5;-10,38718531;-3,101718284;Intensity_QX01862;PXD014381;Diamide
6;-10,43889683;-3,05617361;Intensity_QX01865;PXD014381;Diamide
7;-10,45921218;-3,055463483;Intensity_QX01868;PXD014381;Diamide
8;-10,27080381;-3,224984535;Intensity_QX01984;PXD014381;Diamide
9;-10,22737896;-3,149347972;Intensity_QX01874;PXD014381;Diamide
10;-10,13254141;-2,977961462;Intensity_QX01860;PXD014381;RA
11;-10,44770771;-2,956267045;Intensity_QX01863;PXD014381;RA
12;-10,20361891;-2,857624562;Intensity_QX01866;PXD014381;RA
13;-10,453686;-2,983855372;Intensity_QX01869;PXD014381;RA
14;-10,13260875;-3,043659308;Intensity_QX01872;PXD014381;RA
15;-10,74181097;-1,729376083;Intensity_111017-MCF10A-RFP-gal-to-gal-wcl-D1-07;PXD015122;Control_ltGal
16;-10,75455063;-2,418972562;Intensity_111017-MCF10A-RFP-gal-to-gal-wcl-D2-19;PXD015122;Control_ltGal
17;-10,62390574;-1,992592143;Intensity_111717-MCF10A-RFP-gal-to-gal-wcl-JS-30ACN-D1-07;PXD015122;Control_ltGal
18;-10,60849016;-1,675182273;Intensity_111717-MCF10A-RFP-gal-to-gal-wcl-JS-30ACN-D2-19;PXD015122;Control_ltGal
19;-10,99901152;-2,566737173;Intensity_111017-MCF10A-RFP-glu-to-glu-wcl-D1-02;PXD015122;Control_ltGlu
20;-10,87313261;-2,746551475;Intensity_111017-MCF10A-RFP-glu-to-glu-wcl-D2-14;PXD015122;Control_ltGlu
21;-10,60371921;-2,148052445;Intensity_111717-MCF10A-RFP-glu-to-glu-wcl-JS-30ACN-D1-02;PXD015122;Control_ltGlu
22;-10,78288968;-2,046709084;Intensity_111717-MCF10A-RFP-glu-to-glu-wcl-JS-30ACN-D2-14;PXD015122;Control_ltGlu
23;-10,88602142;-2,252133455;Intensity_111017-MCF10A-RFP-glu-to-gal-wcl-D1-04;PXD015122;Control_stGal
24;-10,92629798;-2,167261628;Intensity_111017-MCF10A-RFP-glu-to-gal-wcl-D2-16;PXD015122;Control_stGal
25;-10,89261252;-2,308054347;Intensity_111717-MCF10A-RFP-glu-to-gal-wcl-JS-30ACN-D1-04;PXD015122;Control_stGal
26;-10,83889164;-2,30973252;Intensity_111717-MCF10A-RFP-glu-to-gal-wcl-JS-30ACN-D2-16;PXD015122;Control_stGal
27;-10,64719372;-2,315502316;Intensity_111017-MCF10A-mAKT-gal-to-gal-wcl-D1-10;PXD015122;mAKT_ltGal
28;-10,76662007;-2,386196821;Intensity_111017-MCF10A-mAKT-gal-to-gal-wcl-D2-22;PXD015122;mAKT_ltGal
29;-11,05541038;-2,582937224;Intensity_111717-MCF10A-mAKT-gal-to-gal-wcl-JS-30ACN-D1-10;PXD015122;mAKT_ltGal
30;-11,16542542;-2,568437997;Intensity_111717-MCF10A-mAKT-gal-to-gal-wcl-JS-30ACN-D2-22;PXD015122;mAKT_ltGal
31;-10,84892931;-2,135958033;Intensity_111017-MCF10A-mAKT-glu-to-glu-wcl-D1-06;PXD015122;mAKT_ltGlu
32;-10,70607396;-2,413568732;Intensity_111017-MCF10A-mAKT-glu-to-glu-wcl-D2-18;PXD015122;mAKT_ltGlu
33;-10,99243459;-2,704926559;Intensity_111717-MCF10A-mAKT-glu-to-glu-wcl-JS-30ACN-D1-06;PXD015122;mAKT_ltGlu
34;-10,90944313;-2,622865164;Intensity_111717-MCF10A-mAKT-glu-to-glu-wcl-JS-30ACN-D2-18;PXD015122;mAKT_ltGlu
35;-10,72261174;-2,189306288;Intensity_111017-MCF10A-mAKT-glu-to-gal-wcl-D1-03;PXD015122;mAKT_stGal
36;-10,55319014;-2,384550229;Intensity_111017-MCF10A-mAKT-glu-to-gal-wcl-D2-15;PXD015122;mAKT_stGal
37;-10,84288808;-2,064030415;Intensity_111717-MCF10A-mAKT-glu-to-gal-wcl-JS-30ACN-D1-03;PXD015122;mAKT_stGal
38;-10,7531398;-2,47056707;Intensity_111717-MCF10A-mAKT-glu-to-gal-wcl-JS-30ACN-D2-15;PXD015122;mAKT_stGal
39;-10,83613938;-2,233819632;Intensity_111017-MCF10A-MYC-gal-to-gal-wcl-D1-08;PXD015122;MYC_ltGal
40;-10,76683718;-2,132757088;Intensity_111017-MCF10A-MYC-gal-to-gal-wcl-D2-20;PXD015122;MYC_ltGal
41;-10,98366576;-2,095421826;Intensity_111717-MCF10A-MYC-gal-to-gal-wcl-JS-30ACN-D1-08;PXD015122;MYC_ltGal
42;-10,94545124;-2,403886626;Intensity_111717-MCF10A-MYC-gal-to-gal-wcl-JS-30ACN-D2-20;PXD015122;MYC_ltGal
43;-10,63778038;-2,041774291;Intensity_111017-MCF10A-MYC-glu-to-glu-wcl-D1-05;PXD015122;MYC_ltGlu
44;-10,50812434;-2,180271959;Intensity_111017-MCF10A-MYC-glu-to-glu-wcl-D2-17;PXD015122;MYC_ltGlu
45;-11,20033175;-2,411366743;Intensity_111717-MCF10A-MYC-glu-to-glu-wcl-JS-30ACN-D1-05;PXD015122;MYC_ltGlu
46;-11,1563902;-2,386302263;Intensity_111717-MCF10A-MYC-glu-to-glu-wcl-JS-30ACN-D2-17;PXD015122;MYC_ltGlu
47;-10,75469907;-1,957840709;Intensity_111017-MCF10A-MYC-glu-to-gal-wcl-D1-09;PXD015122;MYC_stGal
48;-10,688232;-1,833292386;Intensity_111017-MCF10A-MYC-glu-to-gal-wcl-D2-21;PXD015122;MYC_stGal
49;-10,51946658;-2,592250377;Intensity_111717-MCF10A-MYC-glu-to-gal-wcl-JS-30ACN-D1-09;PXD015122;MYC_stGal
50;-10,55908101;-2,413853631;Intensity_111717-MCF10A-MYC-glu-to-gal-wcl-JS-30ACN-D2-21;PXD015122;MYC_stGal
51;7,077881241;-0,931938514;Intensity_1DLC012615QE_RRAG_014B_rep4;PXD012477;Healthy
52;5,405182467;-1,08084818;Intensity_1DLC121914QE_RRAG_029_rep4;PXD012477;Healthy
53;6,196841967;-1,126204029;Intensity_1DLC122214QE_RRAG_040_rep4;PXD012477;Healthy
54;-1,671886842;-0,837237185;Intensity_1DLC071515QE_RRAG_058B_rep2;PXD012477;Non-Healthy
55;5,537057207;-0,576984138;Intensity_1DLC121514QE_RRAG_019_rep2;PXD012477;Healthy
56;6,09727906;-0,90543837;Intensity_1DLC123114QE_RRAG_064_rep4;PXD012477;Non-Healthy
57;6,820474213;-0,511135054;Intensity_1DLC121514QE_RRAG_017_rep2;PXD012477;Non-Healthy
58;7,421504707;0,974345285;Intensity_1DLC122914QE_RRAG_059_rep4;PXD012477;Non-Healthy
59;6,506805133;-0,315413607;Intensity_1DLC122514QE_RRAG_045_rep4;PXD012477;Non-Healthy
60;-2,398943579;-1,52817355;Intensity_1DLC062715QE_RRAG_044B_rep4;PXD012477;Non-Healthy
61;-3,659526387;-1,267162305;Intensity_1DLC051815QE_RRAG_029B_rep2;PXD012477;Healthy
62;5,197126418;-1,174643166;Intensity_1DLC123114QE_RRAG_062_rep4;PXD012477;Non-Healthy
63;-3,67436504;-1,199398316;Intensity_1DLC051815QE_RRAG_029B_rep3;PXD012477;Healthy
64;4,595847404;0,422782731;Intensity_1DLC120314QE_RRAG_008_rep2;PXD012477;Non-Healthy
65;5,481622189;-1,09706223;Intensity_1DLC121414QE_RRAG_011_rep4;PXD012477;Healthy
66;5,968052149;-0,764781226;Intensity_1DLC121414QE_RRAG_016_rep1;PXD012477;Non-Healthy
67;-3,21725272;-1,68025337;Intensity_1DLC060615QE_RRAG_037B_rep1;PXD012477;Healthy
68;3,451902744;-0,578746576;Intensity_1DLC120314QE_RRAG_001_rep1;PXD012477;Healthy
69;-3,101336884;-1,325552052;Intensity_1DLC060615QE_RRAG_036B_rep3;PXD012477;Healthy
70;6,2862118;-0,870606756;Intensity_1DLC122514QE_RRAG_042_rep1;PXD012477;Healthy
71;6,438148775;0,635326257;Intensity_1DLC012615QE_RRAG_007B_rep4;PXD012477;Non-Healthy
72;-3,191288607;-1,060997667;Intensity_1DLC071515QE_RRAG_060B_rep3;PXD012477;Healthy
