Column1;PC1;PC2;Unnamed: 0;Project;Treatment;Timepoint
27;-10,64719372;-2,315502316;Intensity_111017-MCF10A-mAKT-gal-to-gal-wcl-D1-10;PXD015122;mAKT_ltGal;NA
28;-10,76662007;-2,386196821;Intensity_111017-MCF10A-mAKT-gal-to-gal-wcl-D2-22;PXD015122;mAKT_ltGal;NA
35;-10,72261174;-2,189306288;Intensity_111017-MCF10A-mAKT-glu-to-gal-wcl-D1-03;PXD015122;mAKT_stGal;NA
36;-10,55319014;-2,384550229;Intensity_111017-MCF10A-mAKT-glu-to-gal-wcl-D2-15;PXD015122;mAKT_stGal;NA
31;-10,84892931;-2,135958033;Intensity_111017-MCF10A-mAKT-glu-to-glu-wcl-D1-06;PXD015122;mAKT_ltGlu;NA
32;-10,70607396;-2,413568732;Intensity_111017-MCF10A-mAKT-glu-to-glu-wcl-D2-18;PXD015122;mAKT_ltGlu;NA
39;-10,83613938;-2,233819632;Intensity_111017-MCF10A-MYC-gal-to-gal-wcl-D1-08;PXD015122;MYC_ltGal;NA
40;-10,76683718;-2,132757088;Intensity_111017-MCF10A-MYC-gal-to-gal-wcl-D2-20;PXD015122;MYC_ltGal;NA
47;-10,75469907;-1,957840709;Intensity_111017-MCF10A-MYC-glu-to-gal-wcl-D1-09;PXD015122;MYC_stGal;NA
48;-10,688232;-1,833292386;Intensity_111017-MCF10A-MYC-glu-to-gal-wcl-D2-21;PXD015122;MYC_stGal;NA
43;-10,63778038;-2,041774291;Intensity_111017-MCF10A-MYC-glu-to-glu-wcl-D1-05;PXD015122;MYC_ltGlu;NA
44;-10,50812434;-2,180271959;Intensity_111017-MCF10A-MYC-glu-to-glu-wcl-D2-17;PXD015122;MYC_ltGlu;NA
15;-10,74181097;-1,729376083;Intensity_111017-MCF10A-RFP-gal-to-gal-wcl-D1-07;PXD015122;Control_ltGal;NA
16;-10,75455063;-2,418972562;Intensity_111017-MCF10A-RFP-gal-to-gal-wcl-D2-19;PXD015122;Control_ltGal;NA
23;-10,88602142;-2,252133455;Intensity_111017-MCF10A-RFP-glu-to-gal-wcl-D1-04;PXD015122;Control_stGal;NA
24;-10,92629798;-2,167261628;Intensity_111017-MCF10A-RFP-glu-to-gal-wcl-D2-16;PXD015122;Control_stGal;NA
19;-10,99901152;-2,566737173;Intensity_111017-MCF10A-RFP-glu-to-glu-wcl-D1-02;PXD015122;Control_ltGlu;NA
20;-10,87313261;-2,746551475;Intensity_111017-MCF10A-RFP-glu-to-glu-wcl-D2-14;PXD015122;Control_ltGlu;NA
29;-11,05541038;-2,582937224;Intensity_111717-MCF10A-mAKT-gal-to-gal-wcl-JS-30ACN-D1-10;PXD015122;mAKT_ltGal;NA
30;-11,16542542;-2,568437997;Intensity_111717-MCF10A-mAKT-gal-to-gal-wcl-JS-30ACN-D2-22;PXD015122;mAKT_ltGal;NA
37;-10,84288808;-2,064030415;Intensity_111717-MCF10A-mAKT-glu-to-gal-wcl-JS-30ACN-D1-03;PXD015122;mAKT_stGal;NA
38;-10,7531398;-2,47056707;Intensity_111717-MCF10A-mAKT-glu-to-gal-wcl-JS-30ACN-D2-15;PXD015122;mAKT_stGal;NA
33;-10,99243459;-2,704926559;Intensity_111717-MCF10A-mAKT-glu-to-glu-wcl-JS-30ACN-D1-06;PXD015122;mAKT_ltGlu;NA
34;-10,90944313;-2,622865164;Intensity_111717-MCF10A-mAKT-glu-to-glu-wcl-JS-30ACN-D2-18;PXD015122;mAKT_ltGlu;NA
41;-10,98366576;-2,095421826;Intensity_111717-MCF10A-MYC-gal-to-gal-wcl-JS-30ACN-D1-08;PXD015122;MYC_ltGal;NA
42;-10,94545124;-2,403886626;Intensity_111717-MCF10A-MYC-gal-to-gal-wcl-JS-30ACN-D2-20;PXD015122;MYC_ltGal;NA
49;-10,51946658;-2,592250377;Intensity_111717-MCF10A-MYC-glu-to-gal-wcl-JS-30ACN-D1-09;PXD015122;MYC_stGal;NA
50;-10,55908101;-2,413853631;Intensity_111717-MCF10A-MYC-glu-to-gal-wcl-JS-30ACN-D2-21;PXD015122;MYC_stGal;NA
45;-11,20033175;-2,411366743;Intensity_111717-MCF10A-MYC-glu-to-glu-wcl-JS-30ACN-D1-05;PXD015122;MYC_ltGlu;NA
46;-11,1563902;-2,386302263;Intensity_111717-MCF10A-MYC-glu-to-glu-wcl-JS-30ACN-D2-17;PXD015122;MYC_ltGlu;NA
17;-10,62390574;-1,992592143;Intensity_111717-MCF10A-RFP-gal-to-gal-wcl-JS-30ACN-D1-07;PXD015122;Control_ltGal;NA
18;-10,60849016;-1,675182273;Intensity_111717-MCF10A-RFP-gal-to-gal-wcl-JS-30ACN-D2-19;PXD015122;Control_ltGal;NA
25;-10,89261252;-2,308054347;Intensity_111717-MCF10A-RFP-glu-to-gal-wcl-JS-30ACN-D1-04;PXD015122;Control_stGal;NA
26;-10,83889164;-2,30973252;Intensity_111717-MCF10A-RFP-glu-to-gal-wcl-JS-30ACN-D2-16;PXD015122;Control_stGal;NA
21;-10,60371921;-2,148052445;Intensity_111717-MCF10A-RFP-glu-to-glu-wcl-JS-30ACN-D1-02;PXD015122;Control_ltGlu;NA
22;-10,78288968;-2,046709084;Intensity_111717-MCF10A-RFP-glu-to-glu-wcl-JS-30ACN-D2-14;PXD015122;Control_ltGlu;NA
378;-3,726064782;-1,348529886;Intensity_1DLC0080815QE_RRAG_001_rep1;PXD012477;Healthy;A
379;-4,016939567;-1,394330973;Intensity_1DLC0080815QE_RRAG_001_rep2;PXD012477;Healthy;A
503;-3,797361022;-0,712799871;Intensity_1DLC0080815QE_RRAG_002_rep1;PXD012477;Non-Healthy;A
164;-3,103129099;-0,549046203;Intensity_1DLC0080815QE_RRAG_002_rep2;PXD012477;Non-Healthy;A
511;-4,935122885;-0,952046833;Intensity_1DLC0080815QE_RRAG_003_rep1;PXD012477;Healthy;A
406;-4,326534202;-1,131127133;Intensity_1DLC0080815QE_RRAG_003_rep2;PXD012477;Healthy;A
243;-4,140031688;-1,663127405;Intensity_1DLC0080815QE_RRAG_004_rep1;PXD012477;Healthy;A
405;-5,119858694;-1,506250206;Intensity_1DLC0080815QE_RRAG_004_rep2;PXD012477;Healthy;A
228;-4,331413101;-1,228897013;Intensity_1DLC0080815QE_RRAG_017_rep1;PXD012477;Non-Healthy;A
380;-3,694996487;-1,338703633;Intensity_1DLC0080815QE_RRAG_017_rep2;PXD012477;Non-Healthy;A
524;-4,720303118;-1,660580751;Intensity_1DLC0080815QE_RRAG_018_rep1;PXD012477;Non-Healthy;A
254;-3,604359712;-1,729678288;Intensity_1DLC0080815QE_RRAG_018_rep2;PXD012477;Non-Healthy;A
366;-4,950905599;-1,282732195;Intensity_1DLC0080815QE_RRAG_019_rep1;PXD012477;Healthy;A
448;-5,108990595;-1,084753009;Intensity_1DLC0080815QE_RRAG_019_rep2;PXD012477;Healthy;A
299;6,376807751;-0,737233894;Intensity_1DLC012615QE_RRAG_001B_rep1;PXD012477;Healthy;B
217;5,944081508;-0,305211882;Intensity_1DLC012615QE_RRAG_001B_rep2;PXD012477;Healthy;B
275;5,336972822;-1,601138966;Intensity_1DLC012615QE_RRAG_001B_rep3;PXD012477;Healthy;B
375;6,097497065;-1,441023227;Intensity_1DLC012615QE_RRAG_001B_rep4;PXD012477;Healthy;B
115;6,87028157;-0,238419402;Intensity_1DLC012615QE_RRAG_002B_rep1;PXD012477;Non-Healthy;B
519;7,054418016;0,526844266;Intensity_1DLC012615QE_RRAG_002B_rep2;PXD012477;Non-Healthy;B
93;7,613725859;-1,273470012;Intensity_1DLC012615QE_RRAG_002B_rep3;PXD012477;Non-Healthy;B
431;6,289362298;-1,023948853;Intensity_1DLC012615QE_RRAG_002B_rep4;PXD012477;Non-Healthy;B
125;6,347955619;-0,833521115;Intensity_1DLC012615QE_RRAG_003B_rep1;PXD012477;Healthy;B
