ID,name,versionNumber,contentType,dataFileSizeBytes,createdBy,createdOn,modifiedBy,modifiedOn,parentId,synapseURL,dataFileMD5Hex,path,error
syn20952589,ag_01_aegis.raw,1,image/RAW,1280796736,3320325,1570809110589,3320223,1576681332755,syn21444980,https://www.synapse.org/#!Synapse:syn20952589.1,dda3debc5a34191379c760a9f11bff68,/home/robbe/.synapseCache/221/43861221/ag_01_aegis.RAW,
syn20952591,ag_02_gis.raw,1,image/RAW,1291982711,3320325,1570809138300,3320223,1576681333320,syn21444980,https://www.synapse.org/#!Synapse:syn20952591.1,aea72693e5cea1693d594cdd936b1593,/home/robbe/.synapseCache/223/43861223/ag_02_gis.RAW,
syn20952593,ag_03_0247.raw,1,image/RAW,1283417208,3320325,1570809171253,3320223,1576681333891,syn21444980,https://www.synapse.org/#!Synapse:syn20952593.1,30b71e63c41bc8e47b5d3b93249545ae,/home/robbe/.synapseCache/225/43861225/ag_03_0247.RAW,
syn20952595,ag_04_0210.raw,1,image/RAW,1303952349,3320325,1570809201342,3320223,1576681334452,syn21444980,https://www.synapse.org/#!Synapse:syn20952595.1,1d14683cbc3135810a614f69efd38e77,/home/robbe/.synapseCache/227/43861227/ag_04_0210.RAW,
syn20952597,ag_05_0306.raw,1,image/RAW,1292549787,3320325,1570809227775,3320223,1576681335029,syn21444980,https://www.synapse.org/#!Synapse:syn20952597.1,742f035e580b7af2b99760d4a376cb1f,/home/robbe/.synapseCache/229/43861229/ag_05_0306.RAW,
syn20952599,ag_06_0120.raw,1,image/RAW,1294944588,3320325,1570809247790,3320223,1576681335597,syn21444980,https://www.synapse.org/#!Synapse:syn20952599.1,dafa78938771202811bb69010ff01efb,/home/robbe/.synapseCache/231/43861231/ag_06_0120.RAW,
syn20952604,ag_07_0228.raw,1,image/RAW,1286286100,3320325,1570809279418,3320223,1576681336252,syn21444980,https://www.synapse.org/#!Synapse:syn20952604.1,137c3349dbf7b79fd500b03da208d678,/home/robbe/.synapseCache/234/43861234/ag_07_0228.RAW,
syn20952608,ag_08_0448.raw,1,image/RAW,1309503388,3320325,1570809308049,3320223,1576681336876,syn21444980,https://www.synapse.org/#!Synapse:syn20952608.1,d127b8494d9ef64f8be9ae5674b786ae,/home/robbe/.synapseCache/237/43861237/ag_08_0448.RAW,
syn20952611,ag_09_0562.raw,1,image/RAW,1298251857,3320325,1570809336556,3320223,1576681337458,syn21444980,https://www.synapse.org/#!Synapse:syn20952611.1,4874829fee1b71e20f536b5e34c735af,/home/robbe/.synapseCache/240/43861240/ag_09_0562.RAW,
syn20952613,ag_100_0081.raw,1,image/RAW,1403661916,3320325,1570809361720,3320223,1576681338041,syn21444980,https://www.synapse.org/#!Synapse:syn20952613.1,8d5993e5269cd91c196205e414296659,/home/robbe/.synapseCache/242/43861242/ag_100_0081.RAW,
syn20952616,ag_101_0479.raw,1,image/RAW,1417743894,3320325,1570809386376,3320223,1576681338597,syn21444980,https://www.synapse.org/#!Synapse:syn20952616.1,08c33aa525eff307cb022c850bd11c2e,/home/robbe/.synapseCache/245/43861245/ag_101_0479.RAW,
syn20952618,ag_102_0463.raw,1,image/RAW,1417922867,3320325,1570809415680,3320223,1576681339642,syn21444980,https://www.synapse.org/#!Synapse:syn20952618.1,55722245209335b3c88a4f74f8f50696,/home/robbe/.synapseCache/247/43861247/ag_102_0463.RAW,
syn20952622,ag_103_aegis.raw,1,image/RAW,1356672796,3320325,1570809438559,3320223,1576681340224,syn21444980,https://www.synapse.org/#!Synapse:syn20952622.1,d6f5945931c6ed044b6d2a631cb75574,/home/robbe/.synapseCache/249/43861249/ag_103_aegis.RAW,
