,Treatment
0,Control
1,Control
2,Control
3,Control
4,Control
5,Diamide
6,Diamide
7,Diamide
8,Diamide
9,Diamide
10,RA
11,RA
12,RA
13,RA
14,RA
15,Control_ltGal
16,Control_ltGal
17,Control_ltGal
18,Control_ltGal
19,Control_ltGlu
20,Control_ltGlu
21,Control_ltGlu
22,Control_ltGlu
23,Control_stGal
24,Control_stGal
25,Control_stGal
26,Control_stGal
27,mAKT_ltGal
28,mAKT_ltGal
29,mAKT_ltGal
30,mAKT_ltGal
31,mAKT_ltGlu
32,mAKT_ltGlu
33,mAKT_ltGlu
34,mAKT_ltGlu
35,mAKT_stGal
36,mAKT_stGal
37,mAKT_stGal
38,mAKT_stGal
39,MYC_ltGal
40,MYC_ltGal
41,MYC_ltGal
42,MYC_ltGal
43,MYC_ltGlu
44,MYC_ltGlu
45,MYC_ltGlu
46,MYC_ltGlu
47,MYC_stGal
48,MYC_stGal
49,MYC_stGal
50,MYC_stGal
51,Control
52,Control
53,Control
54,Non-Healthy
55,Control
56,Non-Healthy
57,Non-Healthy
58,Non-Healthy
59,Non-Healthy
60,Non-Healthy
61,Control
62,Non-Healthy
63,Control
64,Non-Healthy
65,Control
66,Non-Healthy
67,Control
68,Control
69,Control
70,Control
71,Non-Healthy
72,Control
73,Control
74,Control
75,Non-Healthy
76,Non-Healthy
77,Non-Healthy
78,Non-Healthy
79,Non-Healthy
80,Control
81,Non-Healthy
82,Control
83,Non-Healthy
84,Non-Healthy
85,Non-Healthy
86,Non-Healthy
87,Control
88,Control
89,Control
90,Non-Healthy
91,Control
92,Non-Healthy
93,Non-Healthy
94,Control
95,Control
96,Control
97,Control
98,Control
99,Control
100,Control
101,Control
102,Non-Healthy
103,Control
104,Control
105,Non-Healthy
106,Non-Healthy
107,Control
108,Non-Healthy
109,Non-Healthy
110,Control
111,Control
112,Non-Healthy
113,Control
114,Control
115,Non-Healthy
116,Control
117,Control
118,Control
119,Control
120,Control
121,Non-Healthy
122,Control
123,Control
124,Control
125,Control
126,Control
127,Control
128,Control
129,Control
130,Non-Healthy
131,Control
132,Control
133,Non-Healthy
134,Non-Healthy
135,Control
136,Control
137,Control
138,Non-Healthy
139,Control
140,Non-Healthy
141,Non-Healthy
142,Control
143,Control
144,Non-Healthy
145,Non-Healthy
146,Non-Healthy
147,Control
148,Non-Healthy
149,Control
150,Non-Healthy
151,Non-Healthy
152,Non-Healthy
153,Control
154,Control
155,Control
156,Non-Healthy
157,Control
158,Control
159,Non-Healthy
160,Non-Healthy
161,Non-Healthy
162,Non-Healthy
163,Non-Healthy
164,Non-Healthy
165,Non-Healthy
166,Non-Healthy
167,Control
168,Non-Healthy
169,Control
170,Non-Healthy
171,Control
172,Control
173,Non-Healthy
174,Non-Healthy
175,Non-Healthy
176,Control
177,Non-Healthy
178,Control
179,Non-Healthy
180,Control
181,Control
182,Non-Healthy
183,Non-Healthy
184,Non-Healthy
185,Control
186,Non-Healthy
187,Control
188,Control
189,Non-Healthy
190,Non-Healthy
191,Control
192,Non-Healthy
193,Non-Healthy
194,Non-Healthy
195,Control
196,Non-Healthy
197,Control
198,Non-Healthy
199,Control
200,Control
201,Non-Healthy
202,Control
203,Non-Healthy
204,Non-Healthy
205,Control
206,Control
207,Non-Healthy
208,Non-Healthy
209,Control
210,Non-Healthy
211,Non-Healthy
212,Non-Healthy
213,Control
214,Control
215,Control
216,Non-Healthy
217,Control
218,Control
219,Control
220,Non-Healthy
221,Control
222,Non-Healthy
223,Control
224,Non-Healthy
225,Non-Healthy
226,Non-Healthy
227,Non-Healthy
228,Non-Healthy
229,Control
230,Non-Healthy
231,Non-Healthy
232,Control
233,Non-Healthy
234,Control
235,Control
236,Control
237,Control
238,Control
239,Non-Healthy
240,Non-Healthy
241,Control
242,Control
243,Control
244,Non-Healthy
245,Control
246,Control
247,Control
248,Control
249,Non-Healthy
250,Control
251,Non-Healthy
252,Control
253,Non-Healthy
254,Non-Healthy
255,Control
256,Non-Healthy
257,Non-Healthy
258,Non-Healthy
259,Non-Healthy
260,Control
261,Non-Healthy
262,Control
263,Control
264,Control
265,Control
266,Non-Healthy
267,Non-Healthy
268,Non-Healthy
269,Control
270,Control
271,Control
272,Non-Healthy
273,Non-Healthy
274,Control
275,Control
276,Non-Healthy
277,Control
278,Control
279,Control
280,Non-Healthy
281,Control
282,Non-Healthy
283,Non-Healthy
284,Control
285,Non-Healthy
286,Control
287,Control
288,Control
289,Control
290,Non-Healthy
291,Control
292,Non-Healthy
293,Non-Healthy
294,Non-Healthy
295,Control
296,Non-Healthy
297,Non-Healthy
298,Non-Healthy
299,Control
300,Control
301,Non-Healthy
302,Non-Healthy
303,Non-Healthy
304,Non-Healthy
305,Non-Healthy
306,Non-Healthy
307,Control
308,Non-Healthy
309,Control
310,Control
311,Non-Healthy
312,Control
313,Control
314,Control
315,Control
316,Non-Healthy
317,Non-Healthy
318,Control
319,Non-Healthy
320,Non-Healthy
321,Non-Healthy
322,Non-Healthy
323,Non-Healthy
324,Non-Healthy
325,Non-Healthy
326,Non-Healthy
327,Control
328,Control
329,Control
330,Control
331,Control
332,Non-Healthy
333,Non-Healthy
334,Non-Healthy
335,Non-Healthy
336,Non-Healthy
337,Non-Healthy
338,Non-Healthy
339,Non-Healthy
340,Non-Healthy
341,Non-Healthy
342,Non-Healthy
343,Control
344,Control
345,Non-Healthy
346,Control
347,Non-Healthy
348,Control
349,Control
350,Non-Healthy
351,Control
352,Non-Healthy
353,Non-Healthy
354,Non-Healthy
355,Non-Healthy
356,Control
357,Non-Healthy
358,Control
359,Non-Healthy
360,Control
361,Non-Healthy
362,Non-Healthy
363,Control
364,Control
365,Control
366,Control
367,Control
368,Non-Healthy
369,Non-Healthy
370,Control
371,Control
372,Control
373,Non-Healthy
374,Non-Healthy
375,Control
376,Control
377,Control
378,Control
379,Control
380,Non-Healthy
381,Control
382,Non-Healthy
383,Control
384,Control
385,Non-Healthy
386,Non-Healthy
387,Non-Healthy
388,Non-Healthy
389,Non-Healthy
390,Control
391,Control
392,Control
393,Non-Healthy
394,Non-Healthy
395,Non-Healthy
396,Control
397,Non-Healthy
398,Non-Healthy
399,Control
400,Non-Healthy
401,Control
402,Non-Healthy
403,Non-Healthy
404,Non-Healthy
405,Control
406,Control
407,Non-Healthy
408,Non-Healthy
409,Non-Healthy
410,Non-Healthy
411,Non-Healthy
412,Control
413,Non-Healthy
414,Control
415,Non-Healthy
416,Non-Healthy
417,Control
418,Control
419,Control
420,Control
421,Non-Healthy
422,Non-Healthy
423,Control
424,Non-Healthy
425,Control
426,Control
427,Non-Healthy
428,Control
429,Non-Healthy
430,Non-Healthy
431,Non-Healthy
432,Non-Healthy
433,Control
434,Non-Healthy
435,Non-Healthy
436,Non-Healthy
437,Control
438,Control
439,Control
440,Control
441,Control
442,Control
443,Non-Healthy
444,Non-Healthy
445,Non-Healthy
446,Control
447,Control
448,Control
449,Non-Healthy
450,Control
451,Control
452,Control
453,Control
454,Non-Healthy
455,Control
